KIC,Mass,S_Mass,Radius,S_Radius,Logg_Seis,S_Logg_Seis,Teff,S_Teff,[Fe/H],S_[Fe/H],[Alp/Fe],S_[Alp/Fe],[C/Fe],S_[C/Fe],[N/Fe],S_[N/Fe],[C/N],S_[C/N]
3532113,1.2132,0.0467,9.5082,0.1648,2.5673,0.0039,4674.9604,43.7829,-0.191,0.058,0.0488,0.022,-0.084,0.03754527788261178,0.209,0.04147732611587203,-0.293,0.058519796930832306
3532734,1.4114,0.0534,5.6542,0.0966,3.0847,0.0039,4913.634,47.7723,-0.1673,0.058,0.0308,0.022,-0.102,0.04269261436651823,0.2331,0.046899198810757256,-0.3351,0.06633934106301106
3533464,1.2745,0.0489,4.7009,0.0813,3.2008,0.0039,4836.917,45.3537,0.0867,0.058,0.0366,0.022,-0.0029,0.033306294895865285,0.2669,0.03795310886419663,-0.26980000000000004,0.05280947600181962
3539408,1.6503,0.0631,6.8893,0.1189,2.981,0.004,4970.3306,48.4976,-0.2043,0.058,0.0439,0.022,-0.113,0.04572045935705144,0.2244,0.04988122879294414,-0.3374,0.07078035341226283
3539429,1.1592,0.0447,5.9173,0.1026,2.9597,0.0042,4660.267,50.8045,0.2078,0.058,0.0181,0.022,-0.0035,0.0408759073721983,0.2893,0.044459356098058914,-0.2928,0.06317601724069953
3543846,1.1686,0.0489,10.4135,0.1948,2.4709,0.0046,4622.625,51.6218,-0.1818,0.058,0.1004,0.022,0.0209,0.05419842533054442,0.1337,0.05638747602680642,-0.11280000000000001,0.08182336408750848
3543887,1.1155,0.043,9.2374,0.1601,2.5558,0.0043,4683.0913,52.9695,-0.2119,0.058,0.0908,0.022,-0.0004,0.05722627032107763,0.118,0.059369506008993295,-0.11839999999999999,0.08626819254321863
3545033,1.3637,0.0526,7.6979,0.1335,2.8018,0.0038,4644.2603,41.7874,0.2256,0.058,-0.0202,0.022,-0.021,0.02725060491479887,0.348,0.031175767995590086,-0.369,0.04330373087012109
3545147,1.6371,0.0631,10.0791,0.1746,2.647,0.0038,4691.399,43.1334,0.053,0.058,-0.0201,0.022,-0.1217,0.03148958790154536,0.2708,0.035513266151498274,-0.39249999999999996,0.04964177574786358
3546046,1.2215,0.0469,4.7992,0.083,3.1644,0.0039,4817.419,44.701,0.0912,0.058,0.0284,0.022,-0.0412,0.033003510396811965,0.2733,0.0374109215947081,-0.3145,0.05217608283938882
3546258,1.213,0.0509,10.3017,0.1928,2.4969,0.0041,4563.097,41.2278,0.0436,0.058,0.044,0.022,-0.0302,0.029672880907225436,0.2019,0.03334451707354418,-0.2321,0.04668491506591969
3547041,1.2807,0.0494,6.5178,0.113,2.919,0.0038,4634.584,41.3192,0.2992,0.058,0.004,0.022,0.0108,0.02573668241953227,0.3687,0.029549206187124515,-0.35790000000000005,0.040980194586031075
3547236,1.161,0.0446,5.3725,0.093,3.0443,0.004,4762.729,47.6332,0.0945,0.058,0.018,0.022,-0.0637,0.03724249338355846,0.2116,0.04147732611587203,-0.2753,0.05830563137856431
3547488,1.2785,0.0493,7.7835,0.135,2.7641,0.0038,4640.134,41.9351,0.1343,0.058,0.0307,0.022,-0.0096,0.029067311909118793,0.2679,0.032802329804055654,-0.2775,0.04583934880728166
3553458,1.0752,0.0451,9.5299,0.1784,2.5124,0.0043,4549.5854,45.8132,-0.0379,0.058,0.0841,0.022,0.0627,0.039361984876931704,0.1262,0.04256170065484907,-0.0635,0.060644373797078564
